Agents: 82	 Threshold: 0.1	 Different Initial Progress: True	 Initial Cooperation: 50
Agent 1: 0	 Agent 2: 46	 defect : False 
Agent 1: 43	 Agent 2: 9	 defect : False 
Agent 1: 44	 Agent 2: 80	 defect : False 
Agent 1: 45	 Agent 2: 7	 defect : False 
Agent 1: 46	 Agent 2: 29	 defect : False 
Agent 1: 47	 Agent 2: 8	 defect : False 
Agent 1: 48	 Agent 2: 4	 defect : False 
Agent 1: 49	 Agent 2: 42	 defect : False 
Spy: 51	 Spied on: 65	 Success False	 Amount: 0 
Spy: 52	 Spied on: 62	 Success False	 Amount: 0 
Spy: 53	 Spied on: 16	 Success True	 Amount: 13.393615019073161 
Spy: 53	 Spied on: 16	 Success False	 Amount: 0 
Agent 1: 55	 Agent 2: 31	 defect : False 
Agent 1: 56	 Agent 2: 60	 cooperate : True 
Agent 1: 56	 Agent 2: 60	 defect : False 
Agent 1: 58	 Agent 2: 24	 defect : False 
Agent 1: 59	 Agent 2: 12	 defect : False 
Agent 1: 60	 Agent 2: 12	 defect : False 
Agent 1: 61	 Agent 2: 55	 defect : False 
Agent 1: 62	 Agent 2: 45	 defect : False 
Agent 1: 65	 Agent 2: 59	 defect : False 
Agent 1: 66	 Agent 2: 6	 defect : False 
Agent 1: 67	 Agent 2: 12	 defect : False 
Agent 1: 68	 Agent 2: 7	 defect : False 
Agent 1: 70	 Agent 2: 43	 cooperate : True 
Agent 1: 70	 Agent 2: 43	 defect : False 
Agent 1: 71	 Agent 2: 13	 defect : False 
Agent 1: 72	 Agent 2: 31	 cooperate : True 
Agent 1: 72	 Agent 2: 31	 defect : False 
Agent 1: 73	 Agent 2: 24	 defect : False 
Agent 1: 74	 Agent 2: 24	 cooperate : True 
Agent 1: 74	 Agent 2: 24	 defect : False 
Agent 1: 75	 Agent 2: 68	 defect : False 
Agent 1: 76	 Agent 2: 57	 defect : False 
Agent 1: 77	 Agent 2: 17	 defect : False 
Agent 1: 79	 Agent 2: 23	 defect : False 
Agent 1: 80	 Agent 2: 35	 defect : False 
Agent 1: 81	 Agent 2: 59	 defect : False 
Time Steps: 2
Agent 1: 0	 Agent 2: 31	 defect : False 
Agent 1: 1	 Agent 2: 56	 defect : False 
Agent 1: 4	 Agent 2: 69	 defect : False 
Agent 1: 5	 Agent 2: 11	 defect : False 
Agent 1: 6	 Agent 2: 30	 defect : False 
Agent 1: 7	 Agent 2: 21	 defect : False 
Agent 1: 9	 Agent 2: 62	 defect : False 
Agent 1: 10	 Agent 2: 61	 defect : False 
Agent 1: 11	 Agent 2: 27	 defect : False 
Agent 1: 13	 Agent 2: 7	 defect : False 
Agent 1: 14	 Agent 2: 21	 defect : False 
Agent 1: 15	 Agent 2: 48	 defect : False 
Agent 1: 16	 Agent 2: 0	 defect : False 
Agent 1: 17	 Agent 2: 49	 defect : False 
Agent 1: 18	 Agent 2: 33	 defect : False 
Agent 1: 19	 Agent 2: 58	 defect : False 
Agent 1: 20	 Agent 2: 36	 defect : False 
Agent 1: 22	 Agent 2: 71	 defect : False 
Agent 1: 23	 Agent 2: 62	 defect : False 
Agent 1: 24	 Agent 2: 19	 defect : False 
Agent 1: 25	 Agent 2: 24	 defect : False 
Agent 1: 26	 Agent 2: 37	 defect : False 
Agent 1: 28	 Agent 2: 7	 defect : False 
Agent 1: 29	 Agent 2: 74	 defect : False 
Agent 1: 30	 Agent 2: 69	 defect : False 
Agent 1: 31	 Agent 2: 7	 defect : False 
Agent 1: 32	 Agent 2: 40	 defect : False 
Agent 1: 33	 Agent 2: 7	 defect : False 
Agent 1: 34	 Agent 2: 6	 defect : False 
Agent 1: 35	 Agent 2: 74	 defect : False 
Agent 1: 36	 Agent 2: 61	 defect : False 
Agent 1: 37	 Agent 2: 64	 defect : False 
Agent 1: 38	 Agent 2: 67	 defect : False 
Agent 1: 39	 Agent 2: 20	 defect : False 
Agent 1: 40	 Agent 2: 7	 defect : False 
Agent 1: 41	 Agent 2: 65	 defect : False 
Agent 1: 42	 Agent 2: 10	 defect : False 
Agent 1: 43	 Agent 2: 23	 defect : False 
Agent 1: 44	 Agent 2: 8	 defect : False 
Agent 1: 45	 Agent 2: 76	 defect : False 
Agent 1: 46	 Agent 2: 8	 defect : False 
Agent 1: 47	 Agent 2: 30	 defect : False 
Agent 1: 49	 Agent 2: 15	 defect : False 
Spy: 51	 Spied on: 31	 Success False	 Amount: 0 
Spy: 52	 Spied on: 5	 Success False	 Amount: 0 
Agent 1: 55	 Agent 2: 72	 defect : False 
Agent 1: 56	 Agent 2: 66	 defect : False 
Agent 1: 57	 Agent 2: 40	 defect : False 
Agent 1: 58	 Agent 2: 33	 defect : False 
Agent 1: 59	 Agent 2: 26	 defect : False 
Agent 1: 60	 Agent 2: 40	 defect : False 
Agent 1: 61	 Agent 2: 30	 defect : False 
Agent 1: 62	 Agent 2: 33	 defect : False 
Agent 1: 64	 Agent 2: 16	 defect : False 
Agent 1: 65	 Agent 2: 38	 defect : False 
Agent 1: 66	 Agent 2: 58	 defect : False 
Agent 1: 67	 Agent 2: 40	 defect : False 
Agent 1: 68	 Agent 2: 9	 defect : False 
Agent 1: 69	 Agent 2: 1	 defect : False 
Agent 1: 70	 Agent 2: 58	 defect : False 
Agent 1: 71	 Agent 2: 79	 defect : False 
Agent 1: 73	 Agent 2: 12	 defect : False 
Agent 1: 74	 Agent 2: 9	 defect : False 
Agent 1: 75	 Agent 2: 68	 defect : False 
Agent 1: 76	 Agent 2: 27	 defect : False 
Agent 1: 77	 Agent 2: 64	 defect : False 
Agent 1: 78	 Agent 2: 33	 defect : False 
Agent 1: 79	 Agent 2: 16	 defect : False 
Agent 1: 80	 Agent 2: 44	 defect : False 
Agent 1: 81	 Agent 2: 8	 defect : False 
Time Steps: 3
Agent 1: 0	 Agent 2: 31	 defect : False 
Agent 1: 1	 Agent 2: 36	 defect : False 
Agent 1: 4	 Agent 2: 38	 defect : False 
Agent 1: 5	 Agent 2: 67	 defect : False 
Agent 1: 6	 Agent 2: 1	 defect : False 
Agent 1: 7	 Agent 2: 70	 defect : False 
Agent 1: 8	 Agent 2: 38	 defect : False 
Agent 1: 9	 Agent 2: 13	 defect : False 
Agent 1: 10	 Agent 2: 17	 defect : False 
Agent 1: 11	 Agent 2: 33	 defect : False 
Agent 1: 12	 Agent 2: 14	 defect : False 
Agent 1: 14	 Agent 2: 70	 defect : False 
Agent 1: 15	 Agent 2: 19	 defect : False 
Agent 1: 16	 Agent 2: 34	 defect : False 
Agent 1: 17	 Agent 2: 36	 defect : False 
Agent 1: 18	 Agent 2: 77	 defect : False 
Agent 1: 19	 Agent 2: 26	 defect : False 
Agent 1: 20	 Agent 2: 43	 defect : False 
Agent 1: 21	 Agent 2: 26	 defect : False 
Agent 1: 22	 Agent 2: 81	 defect : False 
Agent 1: 23	 Agent 2: 33	 defect : False 
Agent 1: 24	 Agent 2: 64	 defect : False 
Agent 1: 25	 Agent 2: 62	 defect : False 
Agent 1: 26	 Agent 2: 32	 defect : False 
Agent 1: 27	 Agent 2: 6	 defect : False 
Agent 1: 28	 Agent 2: 11	 defect : False 
Agent 1: 29	 Agent 2: 81	 defect : False 
Agent 1: 31	 Agent 2: 35	 defect : False 
Agent 1: 32	 Agent 2: 5	 defect : False 
Agent 1: 33	 Agent 2: 0	 defect : False 
Agent 1: 34	 Agent 2: 42	 defect : False 
Agent 1: 35	 Agent 2: 16	 defect : False 
Agent 1: 36	 Agent 2: 81	 defect : False 
Agent 1: 37	 Agent 2: 33	 defect : False 
Agent 1: 38	 Agent 2: 20	 defect : False 
Agent 1: 39	 Agent 2: 56	 defect : False 
Agent 1: 40	 Agent 2: 70	 defect : False 
Agent 1: 42	 Agent 2: 71	 defect : False 
Agent 1: 43	 Agent 2: 1	 defect : False 
Agent 1: 44	 Agent 2: 14	 defect : False 
Agent 1: 45	 Agent 2: 9	 defect : False 
Agent 1: 46	 Agent 2: 19	 defect : False 
Agent 1: 47	 Agent 2: 69	 defect : False 
Agent 1: 48	 Agent 2: 4	 defect : False 
Agent 1: 49	 Agent 2: 47	 defect : False 
Spy: 51	 Spied on: 70	 Success False	 Amount: 0 
Spy: 52	 Spied on: 16	 Success False	 Amount: 0 
Spy: 53	 Spied on: 46	 Success False	 Amount: 0 
Agent 1: 55	 Agent 2: 31	 defect : False 
Agent 1: 56	 Agent 2: 13	 defect : False 
Agent 1: 57	 Agent 2: 45	 defect : False 
Agent 1: 58	 Agent 2: 71	 defect : False 
Agent 1: 60	 Agent 2: 79	 defect : False 
Agent 1: 61	 Agent 2: 19	 defect : False 
Agent 1: 62	 Agent 2: 30	 defect : False 
Agent 1: 63	 Agent 2: 20	 defect : False 
Agent 1: 64	 Agent 2: 22	 defect : False 
Agent 1: 67	 Agent 2: 22	 defect : False 
Agent 1: 68	 Agent 2: 42	 defect : False 
Agent 1: 70	 Agent 2: 31	 defect : False 
Agent 1: 71	 Agent 2: 34	 defect : False 
Agent 1: 72	 Agent 2: 20	 defect : False 
Agent 1: 73	 Agent 2: 13	 defect : False 
Agent 1: 74	 Agent 2: 48	 defect : False 
Agent 1: 75	 Agent 2: 4	 defect : False 
Agent 1: 76	 Agent 2: 60	 defect : False 
Agent 1: 77	 Agent 2: 28	 defect : False 
Agent 1: 78	 Agent 2: 25	 defect : False 
Agent 1: 79	 Agent 2: 58	 defect : False 
Agent 1: 80	 Agent 2: 44	 defect : False 
Agent 1: 81	 Agent 2: 39	 defect : False 
Time Steps: 4
Agent 1: 0	 Agent 2: 29	 defect : False 
Agent 1: 4	 Agent 2: 42	 defect : False 
Agent 1: 5	 Agent 2: 8	 defect : False 
Agent 1: 6	 Agent 2: 35	 defect : False 
Agent 1: 7	 Agent 2: 44	 defect : False 
Agent 1: 8	 Agent 2: 65	 defect : False 
Agent 1: 10	 Agent 2: 68	 defect : False 
Agent 1: 11	 Agent 2: 42	 defect : False 
Agent 1: 13	 Agent 2: 14	 defect : False 
Agent 1: 14	 Agent 2: 33	 defect : False 
Agent 1: 15	 Agent 2: 22	 defect : False 
Agent 1: 16	 Agent 2: 74	 defect : False 
Agent 1: 17	 Agent 2: 33	 defect : False 
Agent 1: 18	 Agent 2: 4	 defect : False 
Agent 1: 19	 Agent 2: 13	 defect : False 
Agent 1: 20	 Agent 2: 76	 defect : False 
Agent 1: 21	 Agent 2: 55	 defect : False 
Agent 1: 22	 Agent 2: 44	 defect : False 
Agent 1: 23	 Agent 2: 40	 defect : False 
Agent 1: 24	 Agent 2: 55	 defect : False 
Agent 1: 25	 Agent 2: 77	 defect : False 
Agent 1: 26	 Agent 2: 65	 defect : False 
Agent 1: 27	 Agent 2: 14	 defect : False 
Agent 1: 28	 Agent 2: 49	 defect : False 
Agent 1: 29	 Agent 2: 73	 defect : False 
Agent 1: 30	 Agent 2: 24	 defect : False 
Agent 1: 31	 Agent 2: 32	 defect : False 
Agent 1: 32	 Agent 2: 5	 defect : False 
Agent 1: 33	 Agent 2: 55	 defect : False 
Agent 1: 34	 Agent 2: 0	 defect : False 
Agent 1: 35	 Agent 2: 66	 defect : False 
Agent 1: 36	 Agent 2: 68	 defect : False 
Agent 1: 37	 Agent 2: 25	 defect : False 
Agent 1: 38	 Agent 2: 46	 defect : False 
Agent 1: 39	 Agent 2: 55	 defect : False 
Agent 1: 40	 Agent 2: 8	 defect : False 
Agent 1: 41	 Agent 2: 42	 defect : False 
Agent 1: 42	 Agent 2: 79	 defect : False 
Agent 1: 43	 Agent 2: 40	 defect : False 
Agent 1: 44	 Agent 2: 15	 defect : False 
Agent 1: 45	 Agent 2: 38	 defect : False 
Agent 1: 46	 Agent 2: 64	 defect : False 
Agent 1: 47	 Agent 2: 39	 defect : False 
Agent 1: 49	 Agent 2: 41	 defect : False 
Spy: 51	 Spied on: 37	 Success False	 Amount: 0 
Spy: 52	 Spied on: 24	 Success False	 Amount: 0 
Agent: 52	 Type: Spy	 got caught
Spy: 53	 Spied on: 48	 Success True	 Amount: 30.3009615113704 
Spy: 53	 Spied on: 48	 Success False	 Amount: 0 
Agent 1: 55	 Agent 2: 72	 defect : False 
Agent 1: 56	 Agent 2: 38	 defect : False 
Agent 1: 58	 Agent 2: 70	 defect : False 
Agent 1: 59	 Agent 2: 0	 defect : False 
Agent 1: 60	 Agent 2: 38	 defect : False 
Agent 1: 61	 Agent 2: 36	 defect : False 
Agent 1: 62	 Agent 2: 26	 defect : False 
Agent 1: 63	 Agent 2: 55	 defect : False 
Agent 1: 64	 Agent 2: 74	 defect : False 
Agent 1: 65	 Agent 2: 77	 defect : False 
Agent 1: 66	 Agent 2: 41	 defect : False 
Agent 1: 67	 Agent 2: 59	 defect : False 
Agent 1: 68	 Agent 2: 56	 defect : False 
Agent 1: 69	 Agent 2: 56	 defect : False 
Agent 1: 70	 Agent 2: 27	 defect : False 
Agent 1: 71	 Agent 2: 65	 defect : False 
Agent 1: 72	 Agent 2: 60	 defect : False 
Agent 1: 73	 Agent 2: 21	 defect : False 
Agent 1: 74	 Agent 2: 10	 defect : False 
Agent 1: 75	 Agent 2: 36	 defect : False 
Agent 1: 76	 Agent 2: 65	 defect : False 
Agent 1: 77	 Agent 2: 81	 defect : False 
Agent 1: 78	 Agent 2: 79	 defect : False 
Agent 1: 79	 Agent 2: 42	 defect : False 
Agent 1: 80	 Agent 2: 11	 defect : False 
Agent 1: 81	 Agent 2: 30	 defect : False 
Time Steps: 5
